700107200 	 686765762 	 1 	 male 	 JCVI 	 Throat 	 HMP_Human_metagenome_sample_700107200_from_subject_686765762__sex_male_
700108049 	 161270782 	 2 	 male 	 JCVI 	 Throat 	 HMP_Human_metagenome_sample_700108049_from_subject_161270782__sex_male_
700108295 	 160825720 	 2 	 male 	 JCVI 	 Throat 	 HMP_Human_metagenome_sample_700108295_from_subject_160825720__sex_male_
700108484 	 160967330 	 2 	 male 	 JCVI 	 Throat 	 HMP_Human_metagenome_sample_700108484_from_subject_160967330__sex_male_
700108793 	 160987560 	 2 	 male 	 JCVI 	 Throat 	 HMP_Human_metagenome_sample_700108793_from_subject_160987560__sex_male_
700108965 	 161007791 	 2 	 female 	 JCVI 	 Throat 	 HMP_Human_metagenome_sample_700108965_from_subject_161007791__sex_female_
700109118 	 970836795 	 2 	 female 	 JCVI 	 Throat 	 HMP_Human_metagenome_sample_700109118_from_subject_970836795__sex_female_
700109328 	 160866180 	 2 	 female 	 JCVI 	 Throat 	 HMP_Human_metagenome_sample_700109328_from_subject_160866180__sex_female_
700109394 	 370425937 	 2 	 female 	 JCVI 	 Throat 	 HMP_Human_metagenome_sample_700109394_from_subject_370425937__sex_female_
700109460 	 161554003 	 2 	 male 	 JCVI 	 Throat 	 HMP_Human_metagenome_sample_700109460_from_subject_161554003__sex_male_
700109818 	 160947100 	 2 	 male 	 JCVI 	 Throat 	 HMP_Human_metagenome_sample_700109818_from_subject_160947100__sex_male_
700109875 	 161351702 	 2 	 male 	 JCVI 	 Throat 	 HMP_Human_metagenome_sample_700109875_from_subject_161351702__sex_male_
700109998 	 161412393 	 2 	 male 	 JCVI 	 Throat 	 HMP_Human_metagenome_sample_700109998_from_subject_161412393__sex_male_
700110166 	 246515023 	 2 	 female 	 JCVI 	 Throat 	 HMP_Human_metagenome_sample_700110166_from_subject_246515023__sex_female_
700110232 	 161473083 	 2 	 female 	 JCVI 	 Throat 	 HMP_Human_metagenome_sample_700110232_from_subject_161473083__sex_female_
700110298 	 892969023 	 2 	 female 	 JCVI 	 Throat 	 HMP_Human_metagenome_sample_700110298_from_subject_892969023__sex_female_
700110364 	 650853796 	 2 	 female 	 JCVI 	 Throat 	 HMP_Human_metagenome_sample_700110364_from_subject_650853796__sex_female_
700110430 	 604812005 	 2 	 male 	 JCVI 	 Throat 	 HMP_Human_metagenome_sample_700110430_from_subject_604812005__sex_male_
700110655 	 368533040 	 2 	 male 	 JCVI 	 Throat 	 HMP_Human_metagenome_sample_700110655_from_subject_368533040__sex_male_
700110712 	 492786515 	 2 	 male 	 JCVI 	 Throat 	 HMP_Human_metagenome_sample_700110712_from_subject_492786515__sex_male_
700110823 	 809635352 	 2 	 female 	 JCVI 	 Throat 	 HMP_Human_metagenome_sample_700110823_from_subject_809635352__sex_female_
700111037 	 686765762 	 2 	 male 	 JCVI 	 Throat 	 HMP_Human_metagenome_sample_700111037_from_subject_686765762__sex_male_
700111450 	 451588811 	 1 	 female 	 JCVI 	 Throat 	 HMP_Human_metagenome_sample_700111450_from_subject_451588811__sex_female_
700111516 	 336497421 	 2 	 male 	 JCVI 	 Throat 	 HMP_Human_metagenome_sample_700111516_from_subject_336497421__sex_male_
700111585 	 937495960 	 1 	 female 	 JCVI 	 Throat 	 HMP_Human_metagenome_sample_700111585_from_subject_937495960__sex_female_
700111822 	 414519462 	 2 	 female 	 JCVI 	 Throat 	 HMP_Human_metagenome_sample_700111822_from_subject_414519462__sex_female_
700113021 	 764750800 	 2 	 male 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700113021_from_subject_764750800__sex_male_
700113063 	 764872181 	 2 	 male 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700113063_from_subject_764872181__sex_male_
700113109 	 764467579 	 2 	 female 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700113109_from_subject_764467579__sex_female_
700113492 	 763719065 	 2 	 female 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700113492_from_subject_763719065__sex_female_
700113558 	 764346198 	 2 	 female 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700113558_from_subject_764346198__sex_female_
700113607 	 763536994 	 3 	 male 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700113607_from_subject_763536994__sex_male_
700114008 	 763395383 	 2 	 male 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700114008_from_subject_763395383__sex_male_
700114056 	 764062976 	 2 	 female 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700114056_from_subject_764062976__sex_female_
700114113 	 763840445 	 2 	 female 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700114113_from_subject_763840445__sex_female_
700114175 	 289996019 	 2 	 male 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700114175_from_subject_289996019__sex_male_
700114226 	 663835652 	 1 	 female 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700114226_from_subject_663835652__sex_female_
700114283 	 763638144 	 2 	 female 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700114283_from_subject_763638144__sex_female_
700114337 	 765560005 	 2 	 male 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700114337_from_subject_765560005__sex_male_
700114379 	 764953101 	 2 	 male 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700114379_from_subject_764953101__sex_male_
700114439 	 764042746 	 2 	 female 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700114439_from_subject_764042746__sex_female_
700114714 	 764831721 	 2 	 male 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700114714_from_subject_764831721__sex_male_
700114814 	 375450439 	 2 	 female 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700114814_from_subject_375450439__sex_female_
